model_name,ann,djf,mam,jja,son
MIROC4h,1.121,1.432,1.454,1.66,1.298
ACCESS1-0,1.273,1.679,1.638,1.708,1.581
ACCESS1-3,1.32,1.873,1.723,1.737,1.753
IPSL-CM5B-LR,1.288,1.63,1.901,1.818,1.608
CanCM4,1.243,1.542,1.531,1.518,1.543
MIROC-ESM,1.285,1.679,1.333,1.828,1.564
HadGEM2-AO,1.156,1.595,1.715,1.638,1.609
CanESM2,1.247,1.559,1.578,1.545,1.474
MPI-ESM-P,1.493,1.872,1.843,1.977,1.552
MPI-ESM-MR,1.399,1.838,1.781,1.909,1.55
CSIRO-Mk3-6-0,1.717,2.097,2.065,2.33,2.005
CESM1-BGC,1.103,1.371,1.598,1.506,1.341
inmcm4,1.544,1.682,1.789,1.997,1.872
CESM1-FASTCHEM,1.074,1.359,1.525,1.468,1.31
BNU-ESM,1.244,1.563,1.574,1.573,1.435
CNRM-CM5-2,1.138,1.462,1.446,1.438,1.222
CCSM4,1.061,1.351,1.515,1.452,1.27
GFDL-CM2p1,1.338,1.581,1.672,1.744,1.676
GFDL-ESM2G,1.434,1.788,1.84,1.76,1.665
fio-esm,1.234,1.691,1.586,1.661,1.331
bcc-csm1-1-m,1.395,1.693,1.728,1.963,1.485
GFDL-ESM2M,1.257,1.534,1.713,1.634,1.54
NorESM1-M,1.207,1.639,1.696,1.641,1.456
CESM1-WACCM,1.148,1.495,1.539,1.546,1.291
IPSL-CM5A-MR,1.383,1.639,1.825,1.817,1.599
IPSL-CM5A-LR,1.323,1.582,1.786,1.754,1.534
GFDL-CM3,1.259,1.632,1.908,1.589,1.491
CNRM-CM5,1.144,1.448,1.457,1.472,1.229
MIROC-ESM-CHEM,1.262,1.677,1.305,1.771,1.543
MRI-ESM1,1.338,1.942,1.746,1.738,1.647
NorESM1-ME,1.179,1.606,1.595,1.629,1.413
MIROC5,1.156,1.543,1.352,1.685,1.333
MRI-CGCM3,1.347,1.962,1.769,1.736,1.651
MPI-ESM-LR,1.453,1.835,1.819,1.914,1.533
bcc-csm1-1,1.226,1.615,1.668,1.672,1.477
CESM1-CAM5,1.074,1.366,1.435,1.432,1.237
