model_name,ann,djf,mam,jja,son
MIROC4h,-0.007,0.027,0.181,-0.108,-0.125
ACCESS1-0,0.103,0.129,0.211,0.019,0.051
ACCESS1-3,0.121,0.124,0.24,0.053,0.067
IPSL-CM5B-LR,0.095,0.113,0.261,-0.014,0.019
CanCM4,0.034,-0.029,0.095,0.086,-0.015
MIROC-ESM,-0.051,-0.155,0.041,-0.016,-0.076
HadGEM2-AO,0.141,0.243,0.353,-0.025,-0.008
CanESM2,0.038,-0.014,0.122,0.068,-0.023
MPI-ESM-P,0.0,0.126,0.083,-0.164,-0.046
MPI-ESM-MR,0.018,0.179,0.142,-0.184,-0.066
CSIRO-Mk3-6-0,0.027,-0.017,-0.01,0.048,0.086
CESM1-BGC,0.079,0.145,0.302,-0.064,-0.064
inmcm4,0.061,-0.218,0.075,0.295,0.096
CESM1-FASTCHEM,0.061,0.14,0.269,-0.065,-0.1
BNU-ESM,0.087,0.111,0.252,-0.033,0.015
CNRM-CM5-2,0.007,0.219,0.151,-0.24,-0.104
CCSM4,0.068,0.135,0.266,-0.041,-0.086
GFDL-CM2p1,0.019,0.076,0.144,-0.05,-0.095
GFDL-ESM2G,0.046,0.154,0.193,-0.092,-0.07
fio-esm,0.049,0.006,0.246,-0.012,-0.043
GFDL-ESM2M,0.051,0.115,0.239,-0.06,-0.089
NorESM1-M,0.063,0.07,0.28,-0.049,-0.047
CESM1-WACCM,0.041,0.089,0.193,-0.066,-0.05
IPSL-CM5A-MR,-0.011,-0.145,0.056,0.051,-0.004
IPSL-CM5A-LR,0.013,-0.075,0.092,0.036,-0.002
GFDL-CM3,0.111,0.299,0.386,-0.133,-0.11
CNRM-CM5,0.018,0.227,0.161,-0.221,-0.098
MIROC-ESM-CHEM,-0.035,-0.12,0.05,-0.001,-0.067
MRI-ESM1,0.118,0.27,0.266,-0.076,0.012
NorESM1-ME,0.053,0.049,0.254,-0.04,-0.05
MIROC5,-0.037,0.228,0.028,-0.338,-0.067
MRI-CGCM3,0.129,0.268,0.29,-0.067,0.024
MPI-ESM-LR,-0.001,0.113,0.075,-0.154,-0.041
bcc-csm1-1,0.107,0.169,0.2,0.009,0.048
CESM1-CAM5,0.035,0.129,0.202,-0.099,-0.092
