model_name,ann,son,mam,jja,djf
ACCESS1-0,-0.435,-0.477,-0.454,-0.204,-0.581
ACCESS1-3,0.193,0.13,0.148,0.34,0.165
MIROC4h,0.993,0.871,0.985,1.213,0.949
CanCM4,-0.753,-0.741,-0.834,-0.411,-1.024
MIROC5,-0.627,-0.618,-0.888,-0.085,-0.871
CanESM2,-0.631,-0.67,-0.754,-0.23,-0.87
MPI-ESM-P,-0.757,-0.715,-0.681,-0.811,-0.823
MPI-ESM-MR,-0.629,-0.596,-0.545,-0.684,-0.692
CSIRO-Mk3-6-0,-1.442,-1.472,-1.406,-1.165,-1.583
CESM1-BGC,-0.062,-0.2,-0.074,0.046,-0.014
inmcm4,-0.403,-0.523,-0.496,-0.285,-0.308
CESM1-FASTCHEM,-0.037,-0.158,-0.047,0.099,-0.038
BNU-ESM,-0.748,-0.853,-0.925,-0.746,-0.471
CNRM-CM5-2,-0.566,-0.633,-0.664,-0.213,-0.756
IPSL-CM5B-LR,-1.029,-0.987,-0.999,-0.809,-1.257
GFDL-CM2p1,-1.039,-1.143,-1.079,-0.724,-1.207
GFDL-ESM2G,-1.361,-1.38,-1.258,-1.309,-1.489
fio-esm,-0.876,-0.991,-0.874,-0.931,-0.711
GFDL-ESM2M,-0.932,-1.085,-0.831,-0.941,-0.891
CCSM4,-0.147,-0.278,-0.17,0.007,-0.135
NorESM1-M,-1.253,-1.306,-1.288,-1.203,-1.216
CESM1-WACCM,-0.421,-0.524,-0.429,-0.15,-0.529
IPSL-CM5A-LR,-1.495,-1.416,-1.523,-1.191,-1.81
GFDL-CM3,-1.092,-1.031,-1.14,-1.169,-1.044
CNRM-CM5,-0.334,-0.363,-0.448,-0.008,-0.516
bcc-csm1-1,-0.936,-1.117,-0.865,-0.8,-0.961
NorESM1-ME,-1.543,-1.601,-1.579,-1.479,-1.515
HadGEM2-AO,-0.039,-0.032,-0.004,0.21,-0.274
MRI-CGCM3,-0.795,-1.009,-0.68,-0.665,-0.817
MPI-ESM-LR,-0.762,-0.737,-0.666,-0.822,-0.823
MRI-ESM1,-0.557,-0.77,-0.397,-0.471,-0.562
CESM1-CAM5,-1.053,-1.085,-1.028,-0.917,-1.169
