model_name,ann,djf,mam,jja,son
GISS-E2-1-G,0.826,0.905,1.052,1.041,0.926
GFDL-CM4,0.6,0.758,0.713,0.812,0.674
EC-Earth3,0.616,0.754,0.884,0.767,0.716
BCC-CSM2-MR,0.776,0.949,1.001,0.952,0.879
MRI-ESM2-0,0.714,0.887,0.886,0.954,0.916
GISS-E2-1-H,0.849,0.97,1.103,1.105,0.945
SAM0-UNICON,0.748,0.88,0.922,0.928,0.825
EC-Earth3-Veg,0.636,0.758,0.909,0.813,0.736
CESM2,0.562,0.721,0.737,0.827,0.698
MIROC6,0.68,0.813,0.809,0.983,0.73
NESM3,0.795,1.182,1.083,0.994,0.824
CESM2-WACCM,0.561,0.723,0.727,0.803,0.677
IPSL-CM6A-LR,0.757,0.894,0.933,0.954,0.803
BCC-ESM1,0.778,0.949,1.01,0.924,0.877
CAMS-CSM1-0,0.83,0.986,1.077,1.114,0.882
E3SM-1-0,0.752,0.831,1.001,0.976,0.802
